time/iterations,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,time/fps,train/approx_kl,train/explained_variance,train/loss,train/clip_fraction,train/learning_rate,train/clip_range,train/entropy_loss,train/value_loss,train/policy_gradient_loss,train/n_updates,eval/mean_reward,eval/mean_ep_length
1,2.3421539117647057,309,2048,30.0,6,,,,,,,,,,,,
2,2.8800146500000006,613,4096,30.0,6,0.01300708,0.10686755180358887,3.572188377380371,0.148681640625,0.0003,0.2,-2.1875717543065547,5.295841508358717,-0.010035023887758144,10,,
3,3.3054536699999995,918,6144,30.0,6,0.018290965,0.4373058080673218,2.0958807468414307,0.21826171875,0.0003,0.2,-2.155894400179386,6.053191148489714,-0.010755482214153744,20,,
4,5.711122049999999,1224,8192,30.0,6,0.010674703,0.7432218194007874,2.990408420562744,0.12724609375,0.0003,0.2,-2.1127991236746313,5.1678699988871815,-0.009501003986224532,30,,
,,,10000,,,0.0064645167,0.6447824537754059,17.158565521240234,0.04228515625,0.0003,0.2,-2.105119716376066,16.556542052328588,-0.0032732499385019764,40,4.861297776612143,30.0
5,5.24743922,1537,10240,30.0,6,,,,,,,,,,,,
6,5.71201503,1842,12288,30.0,6,0.009498949,0.9198498502373695,1.7232283353805542,0.088525390625,0.0003,0.2,-2.054609803110361,3.128282782807946,-0.007899401590111665,50,,
7,5.124969079999999,2147,14336,30.0,6,0.0055142976,0.7447611093521118,13.111510276794434,0.0140625,0.0003,0.2,-2.0191903613507747,15.840240122005344,-0.002271099976496771,60,,
8,5.3069540900000005,2453,16384,30.0,6,0.00808724,0.946152463555336,1.1266440153121948,0.084130859375,0.0003,0.2,-1.938760270178318,2.884300966560841,-0.007213282151496969,70,,
9,5.713982900000001,2758,18432,30.0,6,0.011416286,0.9537130445241928,0.9931803345680237,0.104443359375,0.0003,0.2,-1.8567659977823496,2.7696173794567587,-0.010450869772466832,80,,
,,,20000,,,0.0078491485,0.9624833278357983,1.0955984592437744,0.030810546875,0.0003,0.2,-1.852852376550436,2.7164106890559196,-0.0044135757605545224,90,-2.287659708332891,30.0
10,6.04197941,3071,20480,30.0,6,,,,,,,,,,,,
11,5.967114779999999,3377,22528,30.0,6,0.0070878305,0.9448543228209019,3.154676914215088,0.073828125,0.0003,0.2,-1.7911608327180146,4.4261466231197115,-0.005234673626546282,100,,
12,6.28943633,3683,24576,30.0,6,0.011897834,0.9821610171347857,1.1376169919967651,0.09658203125,0.0003,0.2,-1.7660779532045126,1.6442254915833474,-0.007928743539378048,110,,
13,6.735165200000001,3988,26624,30.0,6,0.006075307,0.9482881128787994,2.31432843208313,0.05859375,0.0003,0.2,-1.6646850928664207,4.546669967286289,-0.0061996701871976255,120,,
14,7.274551689999999,4294,28672,30.0,6,0.006441471,0.9654145240783691,1.7921768426895142,0.059423828125,0.0003,0.2,-1.7243586353957654,3.3445566929876804,-0.006067248780163936,130,,
,,,30000,,,0.011051079,0.959682360291481,5.7317280769348145,0.068408203125,0.0003,0.2,-1.7465818852186203,4.65631761495024,-0.0039306728474912235,140,4.688353101024404,30.0
15,5.35844639,4607,30720,30.0,6,,,,,,,,,,,,
16,5.7748851699999975,4913,32768,30.0,6,0.009301583,0.9704438578337431,1.6390070915222168,0.0990234375,0.0003,0.2,-1.7070938263088464,3.669831803254783,-0.00614597862586379,150,,
17,6.640275149999999,5218,34816,30.0,6,0.012926903,0.9854383710771799,0.7551419734954834,0.109130859375,0.0003,0.2,-1.7199987228959799,2.011791851557791,-0.00911507972923573,160,,
18,6.34573095,5524,36864,30.0,6,0.0073876297,0.9793731234967709,1.3812669515609741,0.025537109375,0.0003,0.2,-1.5723147861659528,2.511907589994371,-0.0013072413523332216,170,,
19,5.870559489999998,5829,38912,30.0,6,0.0135362325,0.9910433050245047,0.53053218126297,0.105615234375,0.0003,0.2,-1.593867526948452,1.2199246998876334,-0.006582529292791151,180,,
,,,40000,,,0.009411385,0.9797735065221786,1.2124489545822144,0.122607421875,0.0003,0.2,-1.5185829497873784,2.705588917247951,-0.005736972313025035,190,2.336235871654935,30.0
20,7.3648612700000005,6141,40960,30.0,6,,,,,,,,,,,,
21,5.364140560000001,6446,43008,30.0,6,0.007822742,0.9557391032576561,1.8040624856948853,0.062353515625,0.0003,0.2,-1.5471124526113271,6.846544797718525,-0.0031805146165424956,200,,
22,6.547321890000001,6751,45056,30.0,6,0.010949008,0.9823068380355835,1.38508939743042,0.09501953125,0.0003,0.2,-1.5363318480551242,2.7320457458496095,-0.004493367017130367,210,,
23,7.92899099,7057,47104,30.0,6,0.007698644,0.9731856659054756,2.207961082458496,0.048876953125,0.0003,0.2,-1.4495134923607111,3.42891705930233,-0.004119348857784644,220,,
24,5.99427923,7363,49152,30.0,6,0.011636598,0.9886800991371274,1.4877705574035645,0.07919921875,0.0003,0.2,-1.3942098386585713,1.5901636507362127,-0.005536004947498441,230,,
,,,50000,,,0.0071648844,0.9833872932940722,1.2888143062591553,0.06044921875,0.0003,0.2,-1.5310625225305556,2.8260483246296646,-0.004769292536366265,240,1.3263361303446193,30.0
25,6.09302542,7676,51200,30.0,6,,,,,,,,,,,,
