kernel,matrix_size,block_size,threads_per_block,reg_cap,est_regs,actual_regs,theor_occ,time_ms_mean,time_ms_std,time_ms_min,time_ms_max
gemm,256,64,64,default,44,36,0.6666666666666666,0.26179199914137524,0.03156849000932613,0.22835199534893036,0.3041279911994934
gemm,256,64,64,32,44,32,0.6666666666666666,0.20616532862186432,0.06605835723420798,0.131071999669075,0.29183998703956604
gemm,256,64,64,64,44,40,0.6666666666666666,0.31744001309076947,0.19279684770881786,0.130048006772995,0.5826560258865356
gemm,256,128,256,default,48,37,1.0,0.2733119974533717,0.07888724255662576,0.21401600539684296,0.384799987077713
gemm,256,128,256,32,48,32,1.0,0.2730666721860568,0.22905324052560688,0.10956799983978271,0.596992015838623
gemm,256,128,256,64,48,45,0.9375,0.14233599851528803,0.041291455300237805,0.11161600053310394,0.20070399343967438
gemm,256,256,256,default,56,37,1.0,0.201045331855615,0.1257543495170289,0.11059200018644333,0.37887999415397644
gemm,256,256,256,32,56,32,1.0,0.24710399905840555,0.013042923305362808,0.230335995554924,0.26214399933815
gemm,256,256,256,64,56,45,0.9375,0.1437013347943624,0.04682367004366801,0.11059200018644333,0.2099200040102005
gemm,512,64,64,default,44,36,0.6666666666666666,1.2840960423151653,0.26001938420979054,1.0096640586853027,1.6332800388336182
gemm,512,64,64,32,44,32,0.6666666666666666,1.129813313484192,0.14797261643516776,0.9728000164031982,1.3281279802322388
gemm,512,64,64,64,44,40,0.6666666666666666,1.2946773370107014,0.3386972766095597,1.0024960041046143,1.7694720029830933
gemm,512,128,256,default,48,37,1.0,0.9093119899431864,0.05321518422726139,0.8417279720306396,0.971776008605957
gemm,512,128,256,32,48,32,1.0,0.9639253417650858,0.08487198243974788,0.8591359853744507,1.0670080184936523
gemm,512,128,256,64,48,45,0.9375,0.9154560168584188,0.02080174914620803,0.8929280042648315,0.9431040287017822
gemm,512,256,256,default,56,37,1.0,1.1372693379720051,0.1536376101448514,0.9728000164031982,1.3424639701843262
gemm,512,256,256,32,56,32,1.0,1.0397013227144878,0.04809046314237869,0.9799680113792419,1.0977280139923096
gemm,512,256,256,64,56,45,0.9375,1.1281066536903381,0.25173095208538504,0.936959981918335,1.4837759733200073
gemm,1024,64,64,default,44,36,0.6666666666666666,9.470634778340658,1.1256196380369645,8.508416175842285,11.049983978271484
gemm,1024,64,64,32,44,32,0.6666666666666666,9.193045298258463,1.050099901404092,8.318976402282715,10.66982364654541
gemm,1024,64,64,64,44,40,0.6666666666666666,7.978666464487712,0.48938644050550684,7.287807941436768,8.359935760498047
gemm,1024,128,256,default,48,48,0.875,6.197471936543782,0.3481421724453893,5.804031848907471,6.6505279541015625
gemm,1024,128,256,32,48,32,1.0,6.824618498484294,0.27592363439692325,6.608895778656006,7.214079856872559
gemm,1024,128,256,64,48,45,0.9375,7.06935469309489,0.42616466483760385,6.469632148742676,7.420928001403809
gemm,1024,256,256,default,56,37,1.0,6.6658986409505205,0.18171585359000897,6.4839677810668945,6.914048194885254
gemm,1024,256,256,32,56,32,1.0,6.900736014048259,0.20484263684289872,6.614016056060791,7.0799360275268555
gemm,1024,256,256,64,56,45,0.9375,6.68501345316569,0.17146484304565346,6.556672096252441,6.9273600578308105
reduction,256,64,64,default,16,14,0.6666666666666666,0.13592533767223358,0.041428030380872984,0.09830400347709656,0.19363200664520264
reduction,256,64,64,32,16,14,0.6666666666666666,0.13789866430064043,0.08782686189138586,0.01740800030529499,0.2242559939622879
reduction,256,64,64,64,16,14,0.6666666666666666,0.17989332601428032,0.09613927222211362,0.05427199974656105,0.2877439856529236
reduction,256,128,128,default,17,14,1.0,0.1784959981838862,0.017999954641017477,0.15568000078201294,0.19968000054359436
reduction,256,128,128,32,17,14,1.0,0.08192000010361274,0.09850645836714406,0.009216000325977802,0.22118400037288666
reduction,256,128,128,64,17,14,1.0,0.09384533514579137,0.0013056982498226763,0.0920960009098053,0.09523200243711472
